127.0.0.1 - - [18/Dec/2015:01:06:33 +0800] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [18/Dec/2015:01:06:36 +0800] "GET /DataBase/Page/index.jsp HTTP/1.1" 200 2933
127.0.0.1 - - [18/Dec/2015:01:06:36 +0800] "GET /DataBase/Csses/semantic.min.css HTTP/1.1" 200 521342
127.0.0.1 - - [18/Dec/2015:01:06:36 +0800] "GET /DataBase/Javascripts/jquery.min.js HTTP/1.1" 200 84324
127.0.0.1 - - [18/Dec/2015:01:06:36 +0800] "GET /DataBase/Javascripts/semantic.min.js HTTP/1.1" 200 261456
127.0.0.1 - - [18/Dec/2015:01:06:38 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.eot? HTTP/1.1" 404 1098
127.0.0.1 - - [18/Dec/2015:01:06:38 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.woff HTTP/1.1" 404 1100
127.0.0.1 - - [18/Dec/2015:01:06:39 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.ttf HTTP/1.1" 404 1098
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Page/index.jsp HTTP/1.1" 200 2933
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Csses/semantic.min.css HTTP/1.1" 200 521342
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Javascripts/jquery.min.js HTTP/1.1" 200 84324
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Javascripts/semantic.min.js HTTP/1.1" 200 261456
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.woff HTTP/1.1" 404 1100
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.ttf HTTP/1.1" 404 1098
127.0.0.1 - - [18/Dec/2015:01:06:59 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.svg HTTP/1.1" 404 1098
127.0.0.1 - - [18/Dec/2015:01:07:38 +0800] "GET /DataBase/Page/index.jsp HTTP/1.1" 200 1832
127.0.0.1 - - [18/Dec/2015:01:07:38 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.eot? HTTP/1.1" 404 1098
127.0.0.1 - - [18/Dec/2015:01:07:38 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.woff HTTP/1.1" 404 1100
127.0.0.1 - - [18/Dec/2015:01:07:38 +0800] "GET /DataBase/Csses/themes/default/assets/fonts/icons.ttf HTTP/1.1" 404 1098
